Project,cas_number,Link,nGenes,Chemical_ID,concentration,concentration_unit,Condition,project_name
ADIPO,80-05-7,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=80-05-7&stat=gene_expression,1000,1211.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,80-09-1,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=80-09-1&stat=gene_expression,1000,1221.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,85-68-7,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=85-68-7&stat=gene_expression,1005,1268.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,94-13-3,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=94-13-3&stat=gene_expression,1000,2726.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,94-26-8,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=94-26-8&stat=gene_expression,1001,1271.0,10.0,uM,WT,Human adipocyte cell lines
ADIPO,97322-87-7,https://montilab.bu.edu/Xposome/?page=ADIPO&tab=chemical_explorer&chemical_id=97322-87-7&stat=gene_expression,1000,3160.0,5.0,uM,WT,Human adipocyte cell lines
HepG2,100-01-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-01-6&stat=gene_expression,45,607.0,1.25,uM,WT,Human Hepg2 cell lines
HepG2,100-01-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-01-6&stat=gene_expression,182,607.0,10.0,uM,WT,Human Hepg2 cell lines
HepG2,100-01-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-01-6&stat=gene_expression,60,607.0,2.5,uM,WT,Human Hepg2 cell lines
HepG2,100-01-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-01-6&stat=gene_expression,51,607.0,20.0,uM,WT,Human Hepg2 cell lines
HepG2,100-01-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-01-6&stat=gene_expression,55,607.0,40.0,uM,WT,Human Hepg2 cell lines
HepG2,100-01-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-01-6&stat=gene_expression,67,607.0,5.0,uM,WT,Human Hepg2 cell lines
HepG2,100-51-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-51-6&stat=gene_expression,65,1187.0,1.25,uM,WT,Human Hepg2 cell lines
HepG2,100-51-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-51-6&stat=gene_expression,108,1187.0,10.0,uM,WT,Human Hepg2 cell lines
HepG2,100-51-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-51-6&stat=gene_expression,85,1187.0,2.5,uM,WT,Human Hepg2 cell lines
HepG2,100-51-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-51-6&stat=gene_expression,86,1187.0,20.0,uM,WT,Human Hepg2 cell lines
HepG2,100-51-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-51-6&stat=gene_expression,68,1187.0,40.0,uM,WT,Human Hepg2 cell lines
HepG2,100-51-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-51-6&stat=gene_expression,74,1187.0,5.0,uM,WT,Human Hepg2 cell lines
HepG2,100-97-0,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-97-0&stat=gene_expression,43,2137.0,1.25,uM,WT,Human Hepg2 cell lines
HepG2,100-97-0,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-97-0&stat=gene_expression,84,2137.0,10.0,uM,WT,Human Hepg2 cell lines
HepG2,100-97-0,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-97-0&stat=gene_expression,77,2137.0,2.5,uM,WT,Human Hepg2 cell lines
HepG2,100-97-0,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-97-0&stat=gene_expression,44,2137.0,20.0,uM,WT,Human Hepg2 cell lines
HepG2,100-97-0,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-97-0&stat=gene_expression,38,2137.0,40.0,uM,WT,Human Hepg2 cell lines
HepG2,100-97-0,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=100-97-0&stat=gene_expression,59,2137.0,5.0,uM,WT,Human Hepg2 cell lines
HepG2,101-21-3,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-21-3&stat=gene_expression,46,1363.0,1.25,uM,WT,Human Hepg2 cell lines
HepG2,101-21-3,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-21-3&stat=gene_expression,47,1363.0,10.0,uM,WT,Human Hepg2 cell lines
HepG2,101-21-3,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-21-3&stat=gene_expression,73,1363.0,2.5,uM,WT,Human Hepg2 cell lines
HepG2,101-21-3,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-21-3&stat=gene_expression,56,1363.0,20.0,uM,WT,Human Hepg2 cell lines
HepG2,101-21-3,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-21-3&stat=gene_expression,1128,1363.0,40.0,uM,WT,Human Hepg2 cell lines
HepG2,101-21-3,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-21-3&stat=gene_expression,60,1363.0,5.0,uM,WT,Human Hepg2 cell lines
HepG2,101-80-4,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-80-4&stat=gene_expression,35,560.0,1.25,uM,WT,Human Hepg2 cell lines
HepG2,101-80-4,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-80-4&stat=gene_expression,45,560.0,10.0,uM,WT,Human Hepg2 cell lines
HepG2,101-80-4,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-80-4&stat=gene_expression,59,560.0,2.5,uM,WT,Human Hepg2 cell lines
HepG2,101-80-4,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-80-4&stat=gene_expression,56,560.0,20.0,uM,WT,Human Hepg2 cell lines
HepG2,101-80-4,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-80-4&stat=gene_expression,34,560.0,40.0,uM,WT,Human Hepg2 cell lines
HepG2,101-80-4,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=101-80-4&stat=gene_expression,38,560.0,5.0,uM,WT,Human Hepg2 cell lines
HepG2,103-90-2,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=103-90-2&stat=gene_expression,34,952.0,1.25,uM,WT,Human Hepg2 cell lines
HepG2,103-90-2,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=103-90-2&stat=gene_expression,41,952.0,10.0,uM,WT,Human Hepg2 cell lines
HepG2,103-90-2,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=103-90-2&stat=gene_expression,67,952.0,2.5,uM,WT,Human Hepg2 cell lines
HepG2,103-90-2,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=103-90-2&stat=gene_expression,52,952.0,20.0,uM,WT,Human Hepg2 cell lines
HepG2,103-90-2,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=103-90-2&stat=gene_expression,30,952.0,40.0,uM,WT,Human Hepg2 cell lines
HepG2,103-90-2,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=103-90-2&stat=gene_expression,27,952.0,5.0,uM,WT,Human Hepg2 cell lines
HepG2,105-60-2,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=105-60-2&stat=gene_expression,65,1310.0,1.25,uM,WT,Human Hepg2 cell lines
HepG2,105-60-2,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=105-60-2&stat=gene_expression,37,1310.0,10.0,uM,WT,Human Hepg2 cell lines
HepG2,105-60-2,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=105-60-2&stat=gene_expression,60,1310.0,2.5,uM,WT,Human Hepg2 cell lines
HepG2,105-60-2,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=105-60-2&stat=gene_expression,316,1310.0,20.0,uM,WT,Human Hepg2 cell lines
HepG2,105-60-2,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=105-60-2&stat=gene_expression,117,1310.0,40.0,uM,WT,Human Hepg2 cell lines
HepG2,105-60-2,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=105-60-2&stat=gene_expression,117,1310.0,5.0,uM,WT,Human Hepg2 cell lines
HepG2,106-47-8,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=106-47-8&stat=gene_expression,49,585.0,1.25,uM,WT,Human Hepg2 cell lines
HepG2,106-47-8,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=106-47-8&stat=gene_expression,76,585.0,10.0,uM,WT,Human Hepg2 cell lines
HepG2,106-47-8,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=106-47-8&stat=gene_expression,110,585.0,2.5,uM,WT,Human Hepg2 cell lines
HepG2,106-47-8,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=106-47-8&stat=gene_expression,133,585.0,20.0,uM,WT,Human Hepg2 cell lines
HepG2,106-47-8,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=106-47-8&stat=gene_expression,96,585.0,40.0,uM,WT,Human Hepg2 cell lines
HepG2,106-47-8,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=106-47-8&stat=gene_expression,68,585.0,5.0,uM,WT,Human Hepg2 cell lines
HepG2,108-46-3,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-46-3&stat=gene_expression,41,2772.0,1.25,uM,WT,Human Hepg2 cell lines
HepG2,108-46-3,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-46-3&stat=gene_expression,55,2772.0,10.0,uM,WT,Human Hepg2 cell lines
HepG2,108-46-3,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-46-3&stat=gene_expression,90,2772.0,2.5,uM,WT,Human Hepg2 cell lines
HepG2,108-46-3,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-46-3&stat=gene_expression,96,2772.0,20.0,uM,WT,Human Hepg2 cell lines
HepG2,108-46-3,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-46-3&stat=gene_expression,63,2772.0,40.0,uM,WT,Human Hepg2 cell lines
HepG2,108-46-3,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-46-3&stat=gene_expression,78,2772.0,5.0,uM,WT,Human Hepg2 cell lines
HepG2,108-94-1,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-94-1&stat=gene_expression,66,1540.0,1.25,uM,WT,Human Hepg2 cell lines
HepG2,108-94-1,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-94-1&stat=gene_expression,50,1540.0,10.0,uM,WT,Human Hepg2 cell lines
HepG2,108-94-1,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-94-1&stat=gene_expression,45,1540.0,2.5,uM,WT,Human Hepg2 cell lines
HepG2,108-94-1,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-94-1&stat=gene_expression,27,1540.0,20.0,uM,WT,Human Hepg2 cell lines
HepG2,108-94-1,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-94-1&stat=gene_expression,52,1540.0,40.0,uM,WT,Human Hepg2 cell lines
HepG2,108-94-1,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-94-1&stat=gene_expression,60,1540.0,5.0,uM,WT,Human Hepg2 cell lines
HepG2,108-95-2,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-95-2&stat=gene_expression,41,2638.0,1.25,uM,WT,Human Hepg2 cell lines
HepG2,108-95-2,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-95-2&stat=gene_expression,41,2638.0,10.0,uM,WT,Human Hepg2 cell lines
HepG2,108-95-2,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-95-2&stat=gene_expression,51,2638.0,2.5,uM,WT,Human Hepg2 cell lines
HepG2,108-95-2,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-95-2&stat=gene_expression,35,2638.0,20.0,uM,WT,Human Hepg2 cell lines
HepG2,108-95-2,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-95-2&stat=gene_expression,60,2638.0,40.0,uM,WT,Human Hepg2 cell lines
HepG2,108-95-2,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=108-95-2&stat=gene_expression,43,2638.0,5.0,uM,WT,Human Hepg2 cell lines
HepG2,110-44-1,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=110-44-1&stat=gene_expression,47,2893.0,1.25,uM,WT,Human Hepg2 cell lines
HepG2,110-44-1,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=110-44-1&stat=gene_expression,224,2893.0,10.0,uM,WT,Human Hepg2 cell lines
HepG2,110-44-1,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=110-44-1&stat=gene_expression,135,2893.0,2.5,uM,WT,Human Hepg2 cell lines
HepG2,110-44-1,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=110-44-1&stat=gene_expression,140,2893.0,20.0,uM,WT,Human Hepg2 cell lines
HepG2,110-44-1,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=110-44-1&stat=gene_expression,101,2893.0,40.0,uM,WT,Human Hepg2 cell lines
HepG2,110-44-1,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=110-44-1&stat=gene_expression,85,2893.0,5.0,uM,WT,Human Hepg2 cell lines
HepG2,111-30-8,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=111-30-8&stat=gene_expression,44,1906.0,1.25,uM,WT,Human Hepg2 cell lines
HepG2,111-30-8,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=111-30-8&stat=gene_expression,32,1906.0,10.0,uM,WT,Human Hepg2 cell lines
HepG2,111-30-8,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=111-30-8&stat=gene_expression,68,1906.0,2.5,uM,WT,Human Hepg2 cell lines
HepG2,111-30-8,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=111-30-8&stat=gene_expression,62,1906.0,20.0,uM,WT,Human Hepg2 cell lines
HepG2,111-30-8,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=111-30-8&stat=gene_expression,98,1906.0,40.0,uM,WT,Human Hepg2 cell lines
HepG2,111-30-8,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=111-30-8&stat=gene_expression,58,1906.0,5.0,uM,WT,Human Hepg2 cell lines
HepG2,115-28-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-28-6&stat=gene_expression,47,1354.0,1.25,uM,WT,Human Hepg2 cell lines
HepG2,115-28-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-28-6&stat=gene_expression,162,1354.0,10.0,uM,WT,Human Hepg2 cell lines
HepG2,115-28-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-28-6&stat=gene_expression,64,1354.0,2.5,uM,WT,Human Hepg2 cell lines
HepG2,115-28-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-28-6&stat=gene_expression,41,1354.0,20.0,uM,WT,Human Hepg2 cell lines
HepG2,115-28-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-28-6&stat=gene_expression,59,1354.0,40.0,uM,WT,Human Hepg2 cell lines
HepG2,115-28-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-28-6&stat=gene_expression,64,1354.0,5.0,uM,WT,Human Hepg2 cell lines
HepG2,115-29-7,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-29-7&stat=gene_expression,71,1762.0,1.25,uM,WT,Human Hepg2 cell lines
HepG2,115-29-7,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-29-7&stat=gene_expression,45,1762.0,10.0,uM,WT,Human Hepg2 cell lines
HepG2,115-29-7,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-29-7&stat=gene_expression,51,1762.0,2.5,uM,WT,Human Hepg2 cell lines
HepG2,115-29-7,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-29-7&stat=gene_expression,57,1762.0,20.0,uM,WT,Human Hepg2 cell lines
HepG2,115-29-7,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-29-7&stat=gene_expression,435,1762.0,40.0,uM,WT,Human Hepg2 cell lines
HepG2,115-29-7,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-29-7&stat=gene_expression,134,1762.0,5.0,uM,WT,Human Hepg2 cell lines
HepG2,115-86-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-86-6&stat=gene_expression,62,3138.0,1.25,uM,WT,Human Hepg2 cell lines
HepG2,115-86-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-86-6&stat=gene_expression,77,3138.0,10.0,uM,WT,Human Hepg2 cell lines
HepG2,115-86-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-86-6&stat=gene_expression,87,3138.0,2.5,uM,WT,Human Hepg2 cell lines
HepG2,115-86-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-86-6&stat=gene_expression,225,3138.0,20.0,uM,WT,Human Hepg2 cell lines
HepG2,115-86-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-86-6&stat=gene_expression,165,3138.0,40.0,uM,WT,Human Hepg2 cell lines
HepG2,115-86-6,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-86-6&stat=gene_expression,56,3138.0,5.0,uM,WT,Human Hepg2 cell lines
HepG2,115-96-8,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-96-8&stat=gene_expression,53,3151.0,1.25,uM,WT,Human Hepg2 cell lines
HepG2,115-96-8,https://montilab.bu.edu/Xposome/?page=HEPG2&tab=chemical_explorer&chemical_id=115-96-8&stat=gene_expression,34,3151.0,10.0,uM,WT,Human Hepg2 cell lines
