sample_number,sample_name,project_name,project_link,date_sample_start,date_sample_finish,sample_matrix,technology,parent_sample_number,child_sample_number,zf_sample_number,cas_number,location_lat,location_lon,location_name,location_alt_desc,instrument_value,instrument_value_qualifier,instrument_value_unit,instrument_moles,instrument_moles_qualifier,instrument_moles_unit,environmental_value,environmental_value_qualifier,environmental_value_unit,environmental_moles,environmental_moles_qualifier,environmental_moles_unit
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,581-42-0,,,,,1.446428,U,pg/uL,9.529408,U,pmol/uL,0.3026,U,ng/g wristband,1.9936,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,939-27-5,,,,,0.672068,U,pg/uL,4.315384,U,pmol/uL,0.1406,U,ng/g wristband,0.9028,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,613-12-7,,,,,0.782964,U,pg/uL,4.175808,U,pmol/uL,0.1638,U,ng/g wristband,0.8736,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,91-57-6,,,,,26.341146,B,pg/uL,185.39469,B,pmol/uL,5.5107,B,ng/g wristband,38.7855,B,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,2531-84-2,,,,,69.9792,,pg/uL,362.958784,,pmol/uL,14.64,,ng/g wristband,75.9328,,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,1576-67-6,,,,,0.49712,U,pg/uL,2.4856,U,pmol/uL,0.104,U,ng/g wristband,0.52,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,3697-24-3,,,,,3.07593,U,pg/uL,12.58335,U,pmol/uL,0.6435,U,ng/g wristband,2.6325,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,1705-85-7,,,,,1.478932,U,pg/uL,6.263712,U,pmol/uL,0.3094,U,ng/g wristband,1.3104,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,57-97-6,,,,,1.479888,U,pg/uL,5.919552,U,pmol/uL,0.3096,U,ng/g wristband,1.2384,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,781-43-1,,,,,1.040128,U,pg/uL,4.955904,U,pmol/uL,0.2176,U,ng/g wristband,1.0368,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,779-02-2,,,,,1.09701,U,pg/uL,5.74317,U,pmol/uL,0.2295,U,ng/g wristband,1.2015,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,83-32-9,,,,,1.826916,U,pg/uL,11.831456,U,pmol/uL,0.3822,U,ng/g wristband,2.4752,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,208-96-8,,,,,3.2982,U,pg/uL,21.51,U,pmol/uL,0.69,U,ng/g wristband,4.5,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,191-26-4,,,,,0.31548,U,pg/uL,1.20934,U,pmol/uL,0.066,U,ng/g wristband,0.253,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,120-12-7,,,,,1.7208,U,pg/uL,9.98064,U,pmol/uL,0.36,U,ng/g wristband,2.088,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,56-55-3,,,,,1.16154,U,pg/uL,4.955904,U,pmol/uL,0.243,U,ng/g wristband,1.0368,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,202-33-5 & 199-54-2,,,,,0.86757,U,pg/uL,3.4177,U,pmol/uL,0.1815,U,ng/g wristband,0.715,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,213-46-7,,,,,0.43498,U,pg/uL,1.61564,U,pmol/uL,0.091,U,ng/g wristband,0.338,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,238-84-6,,,,,1.072632,U,pg/uL,4.908104,U,pmol/uL,0.2244,U,ng/g wristband,1.0268,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,50-32-8,,,,,2.08886,U,pg/uL,8.35544,U,pmol/uL,0.437,U,ng/g wristband,1.748,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,205-99-2,,,,,33.86152,,pg/uL,134.10768,,pmol/uL,7.084,,ng/g wristband,28.056,,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,243-17-4,,,,,1.435434,U,pg/uL,6.568198,U,pmol/uL,0.3003,U,ng/g wristband,1.3741,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,197-70-6,,,,,3.060156,U,pg/uL,10.015056,U,pmol/uL,0.6402,U,ng/g wristband,2.0952,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,205-12-9,,,,,0.260988,U,pg/uL,1.174446,U,pmol/uL,0.0546,U,ng/g wristband,0.2457,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,192-97-2,,,,,0.508592,U,pg/uL,1.99804,U,pmol/uL,0.1064,U,ng/g wristband,0.418,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,191-24-2,,,,,0.291102,U,pg/uL,0.998064,U,pmol/uL,0.0609,U,ng/g wristband,0.2088,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,205-82-3,,,,,34.59764,,pg/uL,137.222328,,pmol/uL,7.238,,ng/g wristband,28.7076,,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,207-08-9,,,,,17.419276,,pg/uL,69.168512,,pmol/uL,3.6442,,ng/g wristband,14.4704,,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,218-01-9,,,,,38.626224,,pg/uL,169.07816,,pmol/uL,8.0808,,ng/g wristband,35.372,,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,191-07-1,,,,,0.608972,U,pg/uL,2.000908,U,pmol/uL,0.1274,U,ng/g wristband,0.4186,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,27208-37-3,,,,,0.54492,U,pg/uL,2.506632,U,pmol/uL,0.114,U,ng/g wristband,0.5244,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,5385-75-1,,,,,0.70983,U,pg/uL,2.3661,U,pmol/uL,0.1485,U,ng/g wristband,0.495,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,192-65-4,,,,,6.203484,U,pg/uL,20.579812,U,pmol/uL,1.2978,U,ng/g wristband,4.3054,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,53-70-3,,,,,0.91776,U,pg/uL,3.303936,U,pmol/uL,0.192,U,ng/g wristband,0.6912,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,189-64-0,,,,,0.61662,U,pg/uL,2.096508,U,pmol/uL,0.129,U,ng/g wristband,0.4386,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,189-55-9,,,,,1.565928,U,pg/uL,5.145192,U,pmol/uL,0.3276,U,ng/g wristband,1.0764,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,191-30-0,,,,,0.331254,U,pg/uL,1.140986,U,pmol/uL,0.0693,U,ng/g wristband,0.2387,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,192-51-8,,,,,2.492292,U,pg/uL,8.156592,U,pmol/uL,0.5214,U,ng/g wristband,1.7064,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,132-65-0,,,,,17.036876,,pg/uL,92.447112,,pmol/uL,3.5642,,ng/g wristband,19.3404,,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,206-44-0,,,,,207.6193,,pg/uL,1026.7201,,pmol/uL,43.435,,ng/g wristband,214.795,,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,86-73-7,,,,,0.82455,U,pg/uL,5.11221,U,pmol/uL,0.1725,U,ng/g wristband,1.0695,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,193-39-5,,,,,0.13623,U,pg/uL,0.490428,U,pmol/uL,0.0285,U,ng/g wristband,0.1026,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,91-20-3,,,,,17.620992,B,pg/uL,137.847552,B,pmol/uL,3.6864,B,ng/g wristband,28.8384,B,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,111189-32-3,,,,,0.993762,U,pg/uL,3.252312,U,pmol/uL,0.2079,U,ng/g wristband,0.6804,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,196-42-9,,,,,2.886642,U,pg/uL,9.447192,U,pmol/uL,0.6039,U,ng/g wristband,1.9764,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,206-06-4,,,,,1.02531,U,pg/uL,3.35556,U,pmol/uL,0.2145,U,ng/g wristband,0.702,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,193-09-9,,,,,1.293468,U,pg/uL,4.233168,U,pmol/uL,0.2706,U,ng/g wristband,0.8856,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,205-83-4 & 238-04-0,,,,,2.429196,U,pg/uL,7.950096,U,pmol/uL,0.5082,U,ng/g wristband,1.6632,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,207-18-1,,,,,1.593174,U,pg/uL,5.214024,U,pmol/uL,0.3333,U,ng/g wristband,1.0908,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,77392-71-3 & 198-55-0,,,,,0.85084,U,pg/uL,3.318276,U,pmol/uL,0.178,U,ng/g wristband,0.6942,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,85-01-8,,,,,371.4777,,pg/uL,2085.453294,,pmol/uL,77.715,,ng/g wristband,436.2873,,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,129-00-0,,,,,97.7988,,pg/uL,482.02954,,pmol/uL,20.46,,ng/g wristband,100.843,,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,483-65-8,,,,,0.856576,U,pg/uL,3.74752,U,pmol/uL,0.1792,U,ng/g wristband,0.784,U,pmol/g wristband
M231001,Mock Wristband 1,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 12:00:00,2023-04-12 12:00:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,217-59-4,,,,,0.734208,U,pg/uL,3.21216,U,pmol/uL,0.1536,U,ng/g wristband,0.672,U,pmol/g wristband
M231002,Mock Wristband 2,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 16:30:00,2023-04-12 16:30:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,573-98-8,,,,,1.600344,U,pg/uL,10.491144,U,pmol/uL,0.3348,U,ng/g wristband,2.1948,U,pmol/g wristband
M231002,Mock Wristband 2,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 16:30:00,2023-04-12 16:30:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,571-58-4,,,,,2.202624,U,pg/uL,14.317056,U,pmol/uL,0.4608,U,ng/g wristband,2.9952,U,pmol/g wristband
M231002,Mock Wristband 2,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 16:30:00,2023-04-12 16:30:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,571-61-9,,,,,1.253316,U,pg/uL,8.119308,U,pmol/uL,0.2622,U,ng/g wristband,1.6986,U,pmol/g wristband
M231002,Mock Wristband 2,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 16:30:00,2023-04-12 16:30:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,575-43-9 & 575-41-7,,,,,50.95002,,pg/uL,326.597802,,pmol/uL,10.659,,ng/g wristband,68.3259,,pmol/g wristband
M231002,Mock Wristband 2,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 16:30:00,2023-04-12 16:30:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,569-41-5,,,,,1.30016,U,pg/uL,8.45104,U,pmol/uL,0.272,U,ng/g wristband,1.768,U,pmol/g wristband
M231002,Mock Wristband 2,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 16:30:00,2023-04-12 16:30:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,90-12-0,,,,,107.17716,B,pg/uL,755.492862,B,pmol/uL,22.422,B,ng/g wristband,158.0529,B,pmol/g wristband
M231002,Mock Wristband 2,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 16:30:00,2023-04-12 16:30:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,832-69-9,,,,,0.65247,U,pg/uL,3.35556,U,pmol/uL,0.1365,U,ng/g wristband,0.702,U,pmol/g wristband
M231002,Mock Wristband 2,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 16:30:00,2023-04-12 16:30:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,2381-21-7,,,,,0.404866,U,pg/uL,1.966492,U,pmol/uL,0.0847,U,ng/g wristband,0.4114,U,pmol/g wristband
M231002,Mock Wristband 2,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 16:30:00,2023-04-12 16:30:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,613-06-9,,,,,0.277718,U,pg/uL,1.269568,U,pmol/uL,0.0581,U,ng/g wristband,0.2656,U,pmol/g wristband
M231002,Mock Wristband 2,Mock Wristband Data Study,https://fses.oregonstate.edu/project/fake-wristband-study,2023-04-05 16:30:00,2023-04-12 16:30:00,Wristband,GC-QQQ - 63 PAHs - Mass (ng/g) 2020,,,,59919-41-4,,,,,1.269568,U,pg/uL,6.823928,U,pmol/uL,0.2656,U,ng/g wristband,1.4276,U,pmol/g wristband
