SampleNumber,date_sampled,sample_matrix,technology,Sample_ID,zf_lims_id,cas_number,ClientName,SampleName,LocationLat,LocationLon,LocationName,LocationAlternateDescription,AlternateName,Chemical_ID,measurement_value,measurement_value_qualifier,measurement_value_unit,measurement_value_molar,measurement_value_molar_unit,environment_concentration,environment_concentration_qualifier,environment_concentration_unit,environment_concentration_molar,environment_concentration_molar_unit,parentSampleNumber,childSampleNumber,projectName,date_sample_start,projectLink
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,206-44-0,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,0,NULL,pg/uL,0,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,207-08-9,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,1040,NULL,pg/uL,4121.92,pmol/mL,0.581,NULL,ng/L,0.00230273,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,208-96-8,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,12.3,NULL,pg/uL,80.819,pmol/mL,0.047,NULL,ng/L,0.000308821,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,218-01-9,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,181000,NULL,pg/uL,792858,pmol/mL,69.7,NULL,ng/L,0.305316,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,2381-21-7,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,28000,NULL,pg/uL,129463,pmol/mL,10.8,NULL,ng/L,0.0499359,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,2531-84-2,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,10500,NULL,pg/uL,54614.7,pmol/mL,8.65,NULL,ng/L,0.0449921,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,483-65-8,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,0,NULL,pg/uL,0,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,50-32-8,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,0,NULL,pg/uL,0,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,53-70-3,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,0,NULL,pg/uL,0,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,56-55-3,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,0,NULL,pg/uL,0,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,573-98-8,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,BDL,NULL,pg/uL,BDL,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,575-43-9,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,155,NULL,pg/uL,992.167,pmol/mL,0.291,NULL,ng/L,0.00186271,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,613-06-9,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,7620,NULL,pg/uL,36939.7,pmol/mL,4.02,NULL,ng/L,0.0194878,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,613-12-7,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,14300,NULL,pg/uL,74380.1,pmol/mL,10.4,NULL,ng/L,0.0540946,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,779-02-2,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,0,NULL,pg/uL,0,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,781-43-1,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,0,NULL,pg/uL,0,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,832-69-9,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,15600,NULL,pg/uL,81141.9,pmol/mL,10.7,NULL,ng/L,0.055655,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,83-32-9,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,0,NULL,pg/uL,0,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,85-01-8,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,1850,NULL,pg/uL,10379.9,pmol/mL,2.06,NULL,ng/L,0.0115582,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,86-73-7,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,165,NULL,pg/uL,992.669,pmol/mL,0.366,NULL,ng/L,0.00220192,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,90-12-0,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,31.5,NULL,pg/uL,221.524,pmol/mL,0.142,NULL,ng/L,0.000998614,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,91-20-3,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,65.1,NULL,pg/uL,507.917,pmol/mL,1.1,NULL,ng/L,0.00858232,nmol/L,NULL,A100078,NA,NA,NA
10JUL11-01-007,2010-07-07 8:00:00,PSD-Water,LFT - Spiked,NULL,10JUL11-01-015,91-57-6,NULL,LA-LFT-W-SPK,29.2611,-89.2611,"Grand Isle, Louisiana",NULL,"Grand Isle, LA",0,33.8,NULL,pg/uL,237.698,pmol/mL,0.156,NULL,ng/L,0.00109707,nmol/L,NULL,A100078,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,120-12-7,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,167,NULL,pg/uL,936.996,pmol/mL,0.000258,NULL,ng/L,1.45E-06,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,129-00-0,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,2940,NULL,pg/uL,14536.4,pmol/mL,0.00249,NULL,ng/L,1.23E-05,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,132-65-0,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,52.5,NULL,pg/uL,284.928,pmol/mL,0.00009,NULL,ng/L,4.88E-07,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,1576-67-6,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,BDL,NULL,pg/uL,BDL,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,1705-85-7,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,BDL,NULL,pg/uL,BDL,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,191-24-2,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,39.2,NULL,pg/uL,141.859,pmol/mL,0.000043,NULL,ng/L,1.56E-07,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,191-30-0,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,10.3,NULL,pg/uL,34.0645,pmol/mL,0.000023,NULL,ng/L,7.61E-08,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,192-97-2,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,BDL,NULL,pg/uL,BDL,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,193-39-5,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,19.1,NULL,pg/uL,69.1201,pmol/mL,0.000022,NULL,ng/L,7.96E-08,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,205-99-2,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,144,NULL,pg/uL,570.749,pmol/mL,0.000115,NULL,ng/L,4.56E-07,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,206-44-0,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,3250,NULL,pg/uL,16069.2,pmol/mL,0.00272,NULL,ng/L,1.34E-05,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,207-08-9,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,57.6,NULL,pg/uL,228.291,pmol/mL,0.00005,NULL,ng/L,1.98E-07,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,208-96-8,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,35.4,NULL,pg/uL,232.601,pmol/mL,0.000138,NULL,ng/L,9.07E-07,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,218-01-9,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,717,NULL,pg/uL,3140.77,pmol/mL,0.000579,NULL,ng/L,2.54E-06,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,2381-21-7,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,83.3,NULL,pg/uL,385.154,pmol/mL,0.000066,NULL,ng/L,3.05E-07,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,2531-84-2,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,202,NULL,pg/uL,1050.68,pmol/mL,0.000203,NULL,ng/L,1.06E-06,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,483-65-8,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,1440,NULL,pg/uL,6145.04,pmol/mL,0.00137,NULL,ng/L,5.85E-06,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,50-32-8,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,BDL,NULL,pg/uL,BDL,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,53-70-3,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,9.31,NULL,pg/uL,33.4477,pmol/mL,0.000011,NULL,ng/L,3.95E-08,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,56-55-3,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,396,NULL,pg/uL,1734.65,pmol/mL,0.000318,NULL,ng/L,1.39E-06,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,573-98-8,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,BDL,NULL,pg/uL,BDL,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,575-43-9,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,58.6,NULL,pg/uL,375.103,pmol/mL,0.000121,NULL,ng/L,7.75E-07,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,613-06-9,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,BDL,NULL,pg/uL,BDL,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,613-12-7,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,91.7,NULL,pg/uL,476.969,pmol/mL,0.000084,NULL,ng/L,4.37E-07,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,779-02-2,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,BDL,NULL,pg/uL,BDL,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,781-43-1,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,BDL,NULL,pg/uL,BDL,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,832-69-9,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,294,NULL,pg/uL,1529.21,pmol/mL,0.000259,NULL,ng/L,1.35E-06,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,83-32-9,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,186,NULL,pg/uL,1206.23,pmol/mL,0.000758,NULL,ng/L,4.92E-06,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,85-01-8,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,481,NULL,pg/uL,2698.77,pmol/mL,0.000645,NULL,ng/L,3.62E-06,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,86-73-7,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,246,NULL,pg/uL,1479.98,pmol/mL,0.000586,NULL,ng/L,3.53E-06,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,90-12-0,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,65.2,NULL,pg/uL,458.518,pmol/mL,0.000299,NULL,ng/L,2.10E-06,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,91-20-3,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,114,NULL,pg/uL,889.44,pmol/mL,0.00192,NULL,ng/L,1.50E-05,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-006,2010-07-29 11:30:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-019,91-57-6,NULL,7E-W-S,45.58058,-122.74583,McCormick and Baxter,NULL,RM 7E,0,87.8,NULL,pg/uL,617.453,pmol/mL,0.000412,NULL,ng/L,2.90E-06,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-007,2010-07-29 11:00:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-020,120-12-7,NULL,7W-W-S,45.57387,-122.74574,Railroad Bridge,NULL,RM 7W,0,560,NULL,pg/uL,3142.02,pmol/mL,0.00075,NULL,ng/L,4.21E-06,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-007,2010-07-29 11:00:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-020,129-00-0,NULL,7W-W-S,45.57387,-122.74574,Railroad Bridge,NULL,RM 7W,0,11700,NULL,pg/uL,57849,pmol/mL,0.00722,NULL,ng/L,3.57E-05,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-007,2010-07-29 11:00:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-020,132-65-0,NULL,7W-W-S,45.57387,-122.74574,Railroad Bridge,NULL,RM 7W,0,329,NULL,pg/uL,1785.55,pmol/mL,0.000496,NULL,ng/L,2.69E-06,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-007,2010-07-29 11:00:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-020,1576-67-6,NULL,7W-W-S,45.57387,-122.74574,Railroad Bridge,NULL,RM 7W,0,BDL,NULL,pg/uL,BDL,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-007,2010-07-29 11:00:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-020,1705-85-7,NULL,7W-W-S,45.57387,-122.74574,Railroad Bridge,NULL,RM 7W,0,BDL,NULL,pg/uL,BDL,pmol/mL,BDL,NULL,ng/L,nc:BDL,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-007,2010-07-29 11:00:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-020,191-24-2,NULL,7W-W-S,45.57387,-122.74574,Railroad Bridge,NULL,RM 7W,0,91.8,NULL,pg/uL,332.211,pmol/mL,0.000066,NULL,ng/L,2.39E-07,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-007,2010-07-29 11:00:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-020,191-30-0,NULL,7W-W-S,45.57387,-122.74574,Railroad Bridge,NULL,RM 7W,0,10,NULL,pg/uL,33.0723,pmol/mL,0.000015,NULL,ng/L,4.96E-08,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-007,2010-07-29 11:00:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-020,192-97-2,NULL,7W-W-S,45.57387,-122.74574,Railroad Bridge,NULL,RM 7W,0,252,NULL,pg/uL,998.811,pmol/mL,0.000165,NULL,ng/L,6.54E-07,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-007,2010-07-29 11:00:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-020,193-39-5,NULL,7W-W-S,45.57387,-122.74574,Railroad Bridge,NULL,RM 7W,0,50,NULL,pg/uL,180.943,pmol/mL,0.000037,NULL,ng/L,1.34E-07,nmol/L,NULL,NULL,NA,NA,NA
10JUL29-01-007,2010-07-29 11:00:00,PSD-Water,LFT - Spiked,NULL,10JUL29-01-020,205-99-2,NULL,7W-W-S,45.57387,-122.74574,Railroad Bridge,NULL,RM 7W,0,522,NULL,pg/uL,2068.97,pmol/mL,0.000286,NULL,ng/L,1.13E-06,nmol/L,NULL,NULL,NA,NA,NA
