"","cas_number","ParameterName","chem_source","chemical_class"
"30","95-51-2","2-chloroaniline","industrial","aniline"
"31","95-57-8","2-Chlorophenol","industrial;pesticide","phenol"
"32","2303-23-3","2-Chlorophenyl-4-nitrophenyl ether","industrial","haloEthers"
"33","76341-69-0","2-Chlorosyringaldehyde","industrial;pulpAndPaper","Unclassified"
"34","94-71-3","2-ethoxyphenol","industrial;consumerProduct","phenol"
"35","94-96-2","2-Ethyl-1,3-hexanediol","pesticide","Unclassified"
"36","24549-06-2","2-ethyl-6-methylaniline","industrial","aniline"
"37","578-54-1","2-ethylaniline","industrial","aniline"
"38","90-00-6","2-ethylphenol","industrial;consumerProduct","phenol"
"39","362-05-0","2-Hydroxyestradiol","pharmacological","Unclassified"
"40","643-28-7","2-isopropylaniline","industrial","aniline"
"41","88-69-7","2-isopropylphenol","industrial;consumerProduct","phenol"
"42","149-30-4","2-Mercaptobenzothiazole","industrial","Unclassified"
"43","93-51-6","2-methoxy-4-methylphenol","natural;consumerProduct","phenol"
"44","91-57-6","2-methylnaphthalene","industrial","PAH"
"45","95-48-7","2-Methylphenol","industrial","phenol"
"46","91-59-8","2-Naphthylamine","industrial","PAH"
"47","119-33-5","2-nitro-p-cresol","industrial","phenol"
"48","88-74-4","2-Nitroaniline","industrial","aniline"
"49","86-00-0","2-Nitrobiphenyl","pesticide","Unclassified"
"50","607-57-8","2-Nitrofluorene","industrial","PAH"
"51","581-89-5","2-Nitronaphthalene","industrial","PAH"
"52","88-75-5","2-Nitrophenol","industrial","phenol"
"53","940-31-8","2-Phenoxypropionic acid","pharmacological","Unclassified"
"54","644-35-9","2-propylphenol","industrial;consumerProduct","phenol"
"55","89-72-5","2-sec-butylphenol","industrial","phenol"
"56","95970-22-2","2,3-Dibromoanisole","industrial","Unclassified"
"57","57383-80-9","2,3-Dibromophenol","flameRetardant","phenol"
"58","82239-20-1","2,3-Dichlorophenyl-4-nitrophenyl ether","industrial","haloEthers"
"59","87-59-2","2,3-dimethylaniline","industrial","aniline"
"60","526-75-0","2,3-xylenol","industrial;consumerProduct","phenol"
"61","138507-65-0","2,3,4-Tribromophenol","flameRetardant","phenol"
"62","142022-61-5","2,3,4-Trichlorophenyl-4-nitrophenyl ether","industrial","haloEthers"
"63","879-39-0","2,3,4,5-Tertrachloronitrobenzene","industrial;pesticide","Unclassified"
"64","4901-51-3","2,3,4,5-Tetrachlorophenol","pesticide","phenol"
"65","58-90-2","2,3,4,6-Tetrachlorophenol","industrial;pulpAndPaper;pesticide","phenol"
"66","933-78-8","2,3,5-Trichlorophenol","industrial","phenol"
"67","142022-59-1","2,3,5-Trichlorophenyl-4-nitrophenyl ether","industrial","haloEthers"
"68","2655-15-4","2,3,5-Trimethacarb","pesticide","Unclassified"
"69","697-82-5","2,3,5-trimethylphenol","personalCare;industrial","phenol"
"70","61576-99-6","2,3,5,6-Tetrachloro-p-terphenyl","industrial;flameRetardant","Unclassified"
"71","935-95-5","2,3,5,6-Tetrachlorophenol","pesticide","phenol"
"72","50375-10-5","2,3,6-Trichloroanisole","pesticide","Unclassified"
"73","142022-58-0","2,3,6-Trichlorophenyl-4-nitrophenyl ether","industrial","haloEthers"
"74","2416-94-6","2,3,6-trimethylphenol","industrial","phenol"
"75","1746-01-6","2,3,7,8-TCDD","industrial","Unclassified"
"76","51207-31-9","2,3,7,8-Tetrachlorodibenzofuran","industrial","Unclassified"
"77","2772-45-4","2,4-bis(alpha,alpha-dimethylbenzyl)phenol","industrial","phenol"
"78","1928-38-7","2,4-D methyl ester","pesticide","Unclassified"
"79","94-79-1","2,4-D sec-butyl ester","pesticide","Unclassified"
"80","18625-12-2","2,4-DB methyl ester","pesticide","Unclassified"
"81","120-95-6","2,4-di-tert-amylphenol","industrial;consumerProduct","phenol"
"82","96-76-4","2,4-di-tert-butylphenol","industrial","phenol"
"83","21702-84-1","2,4-Dibromoanisole","industrial","Unclassified"
"84","615-58-7","2,4-Dibromophenol","flameRetardant","phenol"
"85","2671-93-4","2,4-Dibromophenyl-4-nitrophenyl ether","industrial","haloEthers"
"86","133-53-9","2,4-dichloro-3,5-dimethylphenol","industrial;consumerProduct","phenol"
"87","554-00-7","2,4-dichloroaniline","industrial","aniline"
"88","120-83-2","2,4-Dichlorophenol","industrial;pulpAndPaper;pesticide;pesticide","phenol"
"89","97-16-5","2,4-Dichlorophenyl benzenesulfonate","pesticide","Unclassified"
"90","95-68-1","2,4-Dimethylaniline","industrial","aniline"
"91","105-67-9","2,4-Dimethylphenol","pharmacological;industrial","phenol"
"92","97-02-9","2,4-dinitroaniline","industrial","aniline"
"93","1928-37-6","2,4,5-T methyl ester","pesticide","Unclassified"
"94","N/A","2,4,5-Tribromoanisole","industrial","Unclassified"
"95","999008-03-6","2,4,5-Trichloro-p-terphenyl","industrial;flameRetardant","Unclassified"
"96","636-30-6","2,4,5-Trichloroaniline","pesticide","aniline"
"97","95-95-4","2,4,5-Trichlorophenol","industrial;pulpAndPaper;pesticide;pesticide","phenol"
"98","22532-68-9","2,4,5-Trichlorophenyl-4-nitrophenyl ether","industrial","haloEthers"
"99","137-17-7","2,4,5-Trimethylaniline","industrial","aniline"
"100","732-26-3","2,4,6-tri-tert-butylphenol","industrial","phenol"
"101","607-99-8","2,4,6-Tribromoanisole","industrial","Unclassified"
"102","118-79-6","2,4,6-Tribromophenol","flameRetardant","phenol"
"103","3278-89-5","2,4,6-Tribromophenyl allyl ether","flameRetardant","Unclassified"
"104","634-93-5","2,4,6-trichloroaniline","industrial;consumerProduct;pesticide","aniline"
"105","87-40-1","2,4,6-Trichloroanisole","pesticide","Unclassified"
"106","88-06-2","2,4,6-Trichlorophenol","industrial;pulpAndPaper;pesticide;pesticide","phenol"
"107","609-23-4","2,4,6-triiodophenol","industrial","phenol"
"108","527-60-6","2,4,6-trimethylphenol","industrial;consumerProduct","phenol"
"109","53-19-0","2,4'-DDD","pharmacological;pesticide","Unclassified"
"110","3424-82-6","2,4'-DDE","pesticide","Unclassified"
"111","789-02-6","2,4'-DDT","pesticide","Unclassified"
"112","85-29-0","2,4'-Dichlorobenzophenone (2,4'-Dicofol decomposition product)","pesticide","Unclassified"
"113","95970-08-4","2,5-Dibromoanisole","industrial","Unclassified"
"114","28165-52-8","2,5-Dibromophenol","flameRetardant","phenol"
"115","95-82-9","2,5-dichloroaniline","industrial","aniline"
"116","583-78-8","2,5-dichlorophenol","industrial","phenol"
"117","39145-48-7","2,5-Dichlorophenyl-4-nitrophenyl ether","industrial","haloEthers"
"118","95-78-3","2,5-dimethylaniline","industrial","aniline"
"119","95-87-4","2,5-dimethylphenol","industrial;consumerProduct","phenol"
"120","88-27-7","2,6-di-tert-butyl-4-dimethylaminomethylphenol","industrial","phenol"
"121","4130-42-1","2,6-Di-tert-butyl-4-ethylphenol","industrial","phenol"
"122","128-39-2","2,6-Di-tert-butylphenol","industrial","phenol"
"123","827-94-1","2,6-dibromo-4-nitroaniline","industrial","aniline"
"124","38603-09-7","2,6-Dibromoanisole","industrial","Unclassified"
"125","608-33-3","2,6-Dibromophenol","flameRetardant","phenol"
"126","2008-58-4","2,6-Dichlorobenzamide","pesticide","Unclassified"
"127","1194-65-6","2,6-Dichlorobenzonitrile","pesticide","Unclassified"
"128","87-65-0","2,6-Dichlorophenol","industrial;pulpAndPaper","phenol"
"129","2093-28-9","2,6-Dichlorophenyl-4-nitrophenyl ether","industrial","haloEthers"
"130","76330-06-8","2,6-Dichlorosyringaldehyde","industrial;pulpAndPaper","Unclassified"
"131","579-66-8","2,6-diethylaniline","industrial","aniline"
"132","24544-04-5","2,6-diisopropylaniline","industrial","aniline"
"133","91-10-1","2,6-dimethoxyphenol","industrial;consumerProduct","phenol"
"134","87-62-7","2,6-Dimethylaniline","industrial","aniline"
"135","576-26-1","2,6-dimethylphenol","industrial;consumerProduct","phenol"
"136","489-01-0","2,6-ditertbutyl-4-methoxyphenol","industrial","phenol"
"137","4656-58-0","2'-Hydroxy-2,4,4'-tribromodiphenyl ether","flameRetardant","PBDE"
"138","602326-13-6","2'-Methoxy-2,4,4'-tribromodiphenyl ether","flameRetardant","PBDE"
"139","99-07-0","3-(dimethylamino)phenol","industrial","phenol"
"140","591-27-5","3-Aminophenol","personalCare;industrial","phenol"
"141","2398-37-0","3-Bromoanisole","industrial","Unclassified"
"142","591-20-8","3-Bromophenol","flameRetardant","phenol"
"143","2039-86-3","3-Bromostyrene","flameRetardant","Unclassified"
"144","367-21-5","3-Chloro-4-fluoroaniline","industrial","aniline"
"145","5345-54-0","3-Chloro-4-methoxyaniline","pesticide","aniline"
"146","108-42-9","3-Chloroaniline","industrial","aniline"
"147","108-43-0","3-chlorophenol","pharmacological;industrial;pulpAndPaper","phenol"
"148","2303-23-3","3-Chlorophenyl-4-nitrophenyl ether","industrial","haloEthers"
"149","620-17-7","3-ethylphenol","industrial;consumerProduct","phenol"
"150","580-51-8","3-hydroxybiphenyl","industrial","phenol"
"151","16655-82-6","3-Hydroxycarbofuran","industrial","Unclassified"
"152","771-51-7","3-Indolylacetonitrile","pesticide","Unclassified"
"153","N/A","3-Methoxy-2,2',4,4',6-pentabromodiphenyl ether","flameRetardant","PBDE"
"154","150-19-6","3-methoxyphenol","pharmacological;industrial;natural","phenol"
"155","99-09-2","3-Nitroaniline","industrial","aniline"
"156","2113-58-8","3-Nitrobiphenyl","industrial","Unclassified"
"157","554-84-7","3-nitrophenol","industrial","phenol"
"158","585-34-2","3-tert-butylphenol","industrial","phenol"
"159","98-16-8","3-Trifluormethylaniline","industrial;pesticide","aniline"
"160","119-90-4","3,3'-Dimethoxybenzidine","industrial","Unclassified"
"161","95-76-1","3,4-Dichloroaniline","pharmacological;industrial;pesticide","aniline"
"162","3978-67-4","3,4-Dichlorocatechol","industrial;pulpAndPaper","Unclassified"
"163","77102-94-4","3,4-Dichloroguaiacol","industrial;pulpAndPaper","Unclassified"
"164","22532-80-5","3,4-Dichlorophenyl-4-nitrophenyl ether","industrial","haloEthers"
"165","95-64-7","3,4-dimethylaniline","industrial","aniline"
"166","95-65-8","3,4-dimethylphenol","industrial;consumerProduct","phenol"
"167","609-19-8","3,4,5-trichlorophenol","industrial","phenol"
"168","1836-77-7","3,4,5-Trichlorophenyl-4-nitrophenyl ether","industrial","haloEthers"
"169","2686-99-9","3,4,5-Trimethacarb","pesticide","Unclassified"
"170","60712-44-9","3,4,6-Trichloroguaiacol","industrial;pulpAndPaper","Unclassified"
"171","74137-36-3","3,5-Dibromoanisole","industrial","Unclassified"
"172","626-41-5","3,5-Dibromophenol","flameRetardant","phenol"
"173","626-43-7","3,5-Dichloroaniline","pharmacological;industrial;pesticide","aniline"
"174","21105-77-1","3,5-Dichlorophenyl-4-nitrophenyl ether","industrial","haloEthers"
"175","108-69-0","3,5-dimethylaniline","industrial","aniline"
"176","108-68-9","3,5-dimethylphenol","industrial;consumerProduct","phenol"
"177","95-32-9","4-(2-benzothiazolyldithio)morpholine","industrial","Unclassified"
"178","599-64-4","4-alpha-cumylphenol","industrial","phenol"
"179","5930-28-9","4-amino-2,6-dichlorophenol","industrial","phenol"
"180","92-67-1","4-Aminobiphenyl","industrial","Unclassified"
"181","123-30-8","4-aminophenol","industrial","phenol"
"182","101-53-1","4-benzylphenol","industrial","phenol"
"183","106-40-1","4-Bromoaniline","industrial;pesticide","aniline"
"184","104-92-7","4-Bromoanisole","industrial","Unclassified"
"185","106-41-2","4-Bromophenol","flameRetardant","phenol"
"186","2039-82-9","4-Bromostyrene","flameRetardant","Unclassified"
"187","1638-22-8","4-butylphenol","industrial","phenol"
"188","95-69-2","4-Chloro-2-methylaniline","industrial;pesticide","aniline"
"189","1570-64-5","4-chloro-2-methylphenol","industrial","phenol"
"190","89-63-4","4-chloro-2-nitroaniline","industrial","aniline"
"191","59-50-7","4-Chloro-3-methylphenol","industrial;pesticide","phenol"
"192","88-04-0","4-chloro-3,5-dimethylphenol","industrial","phenol"
"193","106-47-8","4-Chloroaniline","industrial;pesticide","aniline"
"194","2138-22-9","4-Chlorocatechol","industrial;pulpAndPaper","Unclassified"
"195","16766-30-6","4-Chloroguaiacol","industrial;pulpAndPaper","Unclassified"
"196","106-48-9","4-Chlorophenol","industrial;pulpAndPaper","phenol"
"197","104-12-1","4-Chlorophenyl isocyanate","industrial;pesticide","Unclassified"
"198","7005-72-3","4-Chlorophenyl phenyl ether","industrial","haloEthers"
"199","1836-74-4","4-Chlorophenyl-4-nitrophenyl ether","industrial","haloEthers"
"200","622-62-8","4-ethoxyphenol","industrial;consumerProduct","phenol"
"201","123-07-9","4-ethylphenol","personalCare;industrial;consumerProduct","phenol"
"202","92-04-6","4-hydroxy-3-chlorobiphenyl","industrial","phenol"
"203","92-69-3","4-hydroxybiphenyl","industrial;consumerProduct","Unclassified"
"204","99-88-7","4-Isopropylaniline","industrial","aniline"
"205","99-89-8","4-isopropylphenol","personalCare;industrial","phenol"
"206","150-76-5","4-methoxyphenol","pharmacological;industrial","phenol"
"207","106-44-5","4-Methylphenol","industrial","phenol"
"208","1806-26-4","4-n-octylphenol","industrial;consumerProduct","phenol"
"209","100-01-6","4-Nitroaniline","industrial","aniline"
"210","92-93-3","4-Nitrobiphenyl","industrial","Unclassified"
"211","100-02-7","4-Nitrophenol","industrial;pesticide","phenol"
"212","620-88-2","4-Nitrophenyl phenyl ether","industrial","haloEthers"
"213","104-40-5","4-Nonylphenol","industrial;pesticide","phenol"
"214","98-54-4","4-tert-butylphenol","industrial;consumerProduct","phenol"
"215","72-54-8","4,4'-DDD","pesticide","Unclassified"
"216","72-55-9","4,4'-DDE","pesticide","Unclassified"
"217","93952-19-3","4,4'-DDE-d4 - QC","pesticide","deuterated"
"218","50-29-3","4,4'-DDT","pesticide","Unclassified"
"219","90-98-2","4,4'-Dichlorobenzophenone","pesticide","Unclassified"
"220","101-77-9","4,4'-Methylenedianiline","industrial;consumerProduct","aniline"
"221","101-80-4","4,4'-Oxydianiline","industrial","aniline"
"222","2460-49-3","4,5-Dichloroguaiacol","industrial;pulpAndPaper","Unclassified"
"223","16766-31-7","4,6-Dichloroguaiacol","industrial;pulpAndPaper","Unclassified"
"224","534-52-1","4,6-Dinitro-o-cresol (DNOC)","industrial;pesticide;pesticide;pesticide","Unclassified"
"225","5737-13-3","4H-cyclopenta[def]phenanthren-4-one","industrial","OPAH"
"226","19463-48-0","5-Chlorovanillin","industrial;pulpAndPaper","Unclassified"
"227","18268-69-4","5,6-Dichlorovanillin","industrial;pulpAndPaper","Unclassified"
"228","491-80-5","5,7-Dihydroxy-4'-methoxyisoflavone","pharmacological","Unclassified"
"229","615-74-7","6-chloro-m-cresol","industrial","phenol"
"230","18268-76-3","6-Chlorovanillin","industrial;pulpAndPaper","Unclassified"
"231","486-25-9","9-Fluorenone","industrial","OPAH"
"232","84-65-1","9,10-Anthraquinone","industrial","OPAH"
"233","84-11-7","9,10-Phenanthrenequinone","industrial;pesticide","OPAH"
"234","127-41-3","a-Ionone","personalCare;natural","Unclassified"
"235","30560-19-1","Acephate","pesticide","Unclassified"
"236","57960-19-7","Acequinocyl","pesticide","OPAH"
"237","135410-20-7","acetamiprid","pesticide","Unclassified"
"238","34256-82-1","Acetochlor","pesticide;pesticide","Unclassified"
"239","50594-67-7","Acifluorfen methyl ester","pesticide","Unclassified"
"240","74070-46-5","Aclonifen","pesticide","Unclassified"
"241","101007-06-1","Acrinathrin","pesticide","Unclassified"
"242","15972-60-8","Alachlor","pesticide","Unclassified"
"243","309-00-2","Aldrin","pesticide","Unclassified"
"244","93-71-0","Allidochlor","pesticide","Unclassified"
"245","319-84-6","alpha-BHC","pharmacological;pesticide","Unclassified"
"246","5103-71-9","alpha-Chlordane","pesticide","Unclassified"
"247","626-15-3","alpha, alpha-Dibromo-m-xylene","industrial;flameRetardant","Unclassified"
"248","834-12-8","Ametryne","pesticide","Unclassified"
"249","919-76-6","Amidithion","pesticide","Unclassified"
"250","2032-59-9","Aminocarb","pesticide","Unclassified"
"251","33089-61-1","Amitraz","pesticide","Unclassified"
"252","33089-74-6","Amitraz metabolite [Methanimidamide, N-(2,4-dimethylphenyl)-N'-methyl-]","pesticide","Unclassified"
"253","122-40-7","amyl cinnamal","personalCare","Unclassified"
"254","101-85-9","amylcinnamyl alcohol","personalCare","Unclassified"
"255","12771-68-5","Ancymidol","pesticide","Unclassified"
"256","101-05-3","Anilazine","pesticide","Unclassified"
"257","62-53-3","Aniline","industrial","aniline"
"258","64249-01-0","Anilofos","pesticide","Unclassified"
"259","105-13-5","Anisyl alcohol","personalCare;natural","Unclassified"
"260","140-57-8","Aramite","pesticide","Unclassified"
"261","999009-03-9","Aramite II","pesticide","Unclassified"
"262","1610-17-9","Atraton","pesticide","Unclassified"
"263","1912-24-9","Atrazine","pharmacological;pesticide","Unclassified"
"264","6190-65-4","Atrazine-desethyl","pesticide","Unclassified"
"265","60207-31-0","Azaconazole","pesticide","Unclassified"
"266","35575-96-3","Azamethiphos","pesticide","Unclassified"
"267","135158-54-2","Azibenzolar-S-methyl","pesticide","Unclassified"
"268","2642-71-9","Azinphos-ethyl","pesticide","Unclassified"
"269","86-50-0","Azinphos-methyl","pharmacological;pesticide","Unclassified"
"270","4147-57-3","Aziprotryn metabolite [2-Amino-4-isopropylamino-6-methylthio-1,3,5-triazine]","pesticide","Unclassified"
"271","4658-28-0","Aziprotryne","pesticide","Unclassified"
"272","103-33-3","Azobenzene","industrial;pesticide;pesticide","Unclassified"
"273","495-48-7","Azoxybenzene","industrial;pesticide","Unclassified"
"274","131860-33-8","Azoxystrobin","pesticide","Unclassified"
"275","106-22-9","b-citronellol","personalCare;natural;consumerProduct","Unclassified"
"276","50-28-2","b-Estradiol","pharmacological","Unclassified"
"277","79-77-6","b-Ionone","personalCare;natural","Unclassified"
"278","101-27-9","Barban","pesticide","Unclassified"
"279","113614-08-7","Beflubutamid","pesticide","Unclassified"
"280","71626-11-4","Benalaxyl","pesticide","Unclassified"
"281","25059-80-7","Benazolin-ethyl","pesticide","Unclassified"
"282","22781-23-3","Bendiocarb","pesticide","Unclassified"
"283","1861-40-1","Benfluralin","pesticide","Unclassified"
"284","82560-54-1","Benfuracarb","pesticide","Unclassified"
"285","68505-69-1","Benfuresate","pesticide","Unclassified"
"286","15310-01-7","Benodanil","pesticide","Unclassified"
"287","98730-04-2","Benoxacor","pesticide","Unclassified"
"288","25057-89-0","Bentazone","pesticide","Unclassified"
"289","61592-45-8","Bentazone methyl derivative","pesticide","Unclassified"
"290","28249-77-6","Benthiocarb","pesticide","Unclassified"
"291","82-05-3","Benzanthrone","industrial","OPAH"
"292","98-10-2","Benzenesulfonamide","pharmacological","Unclassified"
"293","92-87-5","Benzidine","industrial","Unclassified"
"294","119-61-9","Benzophenone","personalCare;industrial","Unclassified"
"295","95-16-9","Benzothiazole","industrial","Unclassified"
"296","95-14-7","benzotriazole","industrial","Unclassified"
"297","55440-55-6","Benzoximate metabolite","pesticide","Unclassified"
"298","22212-55-1","Benzoylprop ethyl","pesticide","Unclassified"
"299","100-51-6","Benzyl alcohol","pharmacological;personalCare;industrial;natural;consumerProduct","Unclassified"
"300","120-51-4","Benzyl benzoate","pesticide","Unclassified"
"301","103-41-3","Benzyl cinnamate","personalCare;natural;consumerProduct","Unclassified"
"302","118-58-1","benzyl salicylate","personalCare;natural","Unclassified"
"303","319-85-7","beta-BHC","pesticide","Unclassified"
"304","6108-10-7","BHC epsilon isomer","pesticide","Unclassified"
"305","39811-17-1","Bifenazate metabolite (5-Phenyl-o-anisidine )","pesticide","Unclassified"
"306","42576-02-3","Bifenox","pesticide","Unclassified"
"307","82657-04-3","Bifenthrin","pesticide","Unclassified"
"308","485-31-4","Binapacryl","pesticide","Unclassified"
"309","584-79-2","Bioallethrin","pesticide","Unclassified"
"310","28434-00-6","Bioallethrin S-cyclopentenyl isomer","pesticide","Unclassified"
"311","28434-01-7","Bioresmethrin","pesticide","Unclassified"
"312","92-52-4","Biphenyl","industrial;pesticide","Unclassified"
"313","117-83-9","Bis(2-butoxyethyl) phthalate","industrial","Unclassified"
"314","117-81-7","Bis(2-ethylhexyl)phthalate","industrial;pesticide","Unclassified"
"315","127-90-2","Bis(2,3,3,3-tetrachloropropyl) ether","pesticide","Unclassified"
"316","80-05-7","Bisphenol A","industrial","phenol"
"317","1478-61-1","bisphenol AF","industrial;consumerProduct","phenol"
"318","77-40-7","bisphenol B","industrial;consumerProduct","phenol"
"319","2081-08-5","bisphenol E","industrial;consumerProduct","phenol"
"320","843-55-0","bisphenol Z","industrial;consumerProduct","phenol"
"321","55179-31-2","Bitertanol I","pesticide","Unclassified"
"322","999027-03-1","Bitertanol II","pesticide","Unclassified"
"323","188425-85-6","Boscalid (Nicobifen)","pesticide","Unclassified"
"324","314-40-9","Bromacil","pesticide","Unclassified"
"325","58580-14-6","Bromfenvinphos-(E)","pesticide","Unclassified"
"326","58580-13-5","Bromfenvinphos-(Z)","pesticide","Unclassified"
"327","74712-19-9","Bromobutide","pesticide","Unclassified"
"328","1715-40-8","Bromocyclen","pesticide","Unclassified"
"329","2104-96-3","Bromophos","pesticide","Unclassified"
"330","4824-78-6","Bromophos-ethyl","pesticide","Unclassified"
"331","18181-80-1","Bromopropylate","pesticide","Unclassified"
"332","1689-84-5","Bromoxynil","pesticide","Unclassified"
"333","1689-99-2","Bromoxynil octanoic acid ester","pesticide","Unclassified"
"334","116255-48-2","Bromuconazole I","pesticide","Unclassified"
"335","999010-03-6","Bromuconazole II","pesticide","Unclassified"
"336","8065-36-9","Bufencarb","pesticide","Unclassified"
"337","41483-43-6","Bupirimate","pesticide","Unclassified"
"338","69327-76-0","Buprofezin","pesticide","Unclassified"
"339","23184-66-9","Butachlor","pesticide","Unclassified"
"340","134605-64-4","Butafenacil","pesticide","Unclassified"
"341","36335-67-8","Butamifos","pesticide","Unclassified"
"342","34681-23-7","Butoxycarboxim","pesticide","Unclassified"
"343","33629-47-9","Butralin","pesticide","Unclassified"
"344","85-68-7","Butyl benzyl phthalate","industrial","Unclassified"
"345","2008-41-5","Butylate","pesticide","Unclassified"
"346","25013-16-5","Butylated hydroxyanisole","pharmacological;personalCare","Unclassified"
"347","128-37-0","butylated hydroxytoluene","industrial;consumerProduct","phenol"
"348","95465-99-9","Cadusafos","pesticide","Unclassified"
"349","125306-83-4","Cafenstrole","pesticide","Unclassified"
"350","58-08-2","Caffeine","pharmacological;consumerProduct","Unclassified"
"351","2425-06-1","Captafol","pesticide","Unclassified"
"352","133-06-2","Captan","pesticide","Unclassified"
"353","63-25-2","Carbaryl","pesticide","PAH"
"354","86-74-8","Carbazole","industrial","Unclassified"
"355","16118-49-3","Carbetamide","pesticide","Unclassified"
"356","1563-66-2","Carbofuran","pesticide","Unclassified"
"357","16709-30-1","Carbofuran-3-keto","pesticide","Unclassified"
"358","1563-38-8","Carbofuran-7-phenol","pesticide","phenol"
"359","786-19-6","Carbophenothion","pesticide","Unclassified"
"360","55285-14-8","Carbosulfan","pesticide","Unclassified"
"361","5234-68-4","Carboxin","pesticide","Unclassified"
"362","128639-02-1","Carfentrazone-ethyl","pesticide","Unclassified"
"363","104030-54-8","Carpropamid","pesticide","Unclassified"
"364","99-49-0","Carvone","personalCare;consumerProduct;pesticide","Unclassified"
"365","33704-61-9","Cashmeran","personalCare","Unclassified"
"366","121227-99-4","Cekafix","pesticide;pesticide","Unclassified"
"367","13171-00-1","Celestolide","personalCare","Unclassified"
"368","2439-01-2","Chinomethionat","pesticide","Unclassified"
"369","7286-84-2","Chloramben methyl ester","pesticide","Unclassified"
"370","2164-09-2","Chloranocryl","pesticide","Unclassified"
"371","103-17-3","Chlorbenside","pesticide","Unclassified"
"372","7082-99-7","Chlorbenside sulfone","pesticide","Unclassified"
"373","2550-75-6","Chlorbicyclen","pesticide","Unclassified"
"374","13360-45-7","Chlorbromuron","pesticide","Unclassified"
"375","1967-16-4","Chlorbufam","pesticide","Unclassified"
"376","3734-48-3","Chlordene, trans-","industrial;pesticide","Unclassified"
"377","6164-98-3","Chlordimeform","pesticide","Unclassified"
"378","54593-83-8","Chlorethoxyfos","pesticide","Unclassified"
"379","122453-73-0","Chlorfenapyr","pesticide","Unclassified"
"380","80-06-8","Chlorfenethol","pesticide","Unclassified"
"381","14437-17-3","Chlorfenprop-methyl","pesticide","Unclassified"
"382","80-33-1","Chlorfenson","pesticide;pesticide","Unclassified"
"383","470-90-6","Chlorfenvinphos","pesticide","Unclassified"
"384","18708-87-7","Chlorfenvinphos, cis-","pesticide","Unclassified"
"385","18708-86-6","Chlorfenvinphos, trans-","pesticide","Unclassified"
"386","2536-31-4","Chlorflurecol-methyl ester","pesticide","PAH"
"387","24934-91-6","Chlormefos","pesticide","Unclassified"
"388","1836-77-7","Chlornitrofen","pesticide","Unclassified"
"389","510-15-6","Chlorobenzilate","pesticide","Unclassified"
"390","2675-77-6","Chloroneb","pesticide","Unclassified"
"391","5836-10-2","Chloropropylate","pesticide","Unclassified"
"392","1897-45-6","Chlorothalonil","pesticide;pesticide;pesticide","Unclassified"
"393","15545-48-9","Chlorotoluron","pesticide","Unclassified"
"394","101-21-3","Chlorpropham","pesticide","Unclassified"
"395","2921-88-2","Chlorpyrifos","pharmacological;pesticide","Unclassified"
"396","5598-13-0","Chlorpyrifos Methyl","pesticide","Unclassified"
"397","1918-13-4","Chlorthiamid","pesticide","Unclassified"
"398","500-28-7","Chlorthion","pesticide","Unclassified"
"399","60238-56-4","Chlorthiophos","pesticide","Unclassified"
"400","999053-03-1","Chlorthiophos sulfone","pesticide","Unclassified"
